ID,solutionID,imagegenerator,stepnumber,variant,param,face_definition,urlappend,algo_next_de,algo_next_en
,moves,visualcube,3,23,fc,oowoowoowbbbbbbbbbwwrwwrwwr,,,l
,moves,visualcube,3,24,fc,bbbbbbwwwbyybyybyyrrrrrrrrr,,,b
,moves,visualcube,3,25,fc,wwwwwwwwwrrrrrrbbbggggggrrr,,,u'
,moves,visualcube,3,26,fc,woowoowoobbbbbbbbbrwwrwwrww,,,r'
,moves,visualcube,3,27,fc,wwwbbbbbbyybyybyybrrrrrrrrr,,,f'
,moves,visualcube,3,28,fc,wwwwwwwwwbbboooooorrrbbbbbb,,,d'
,moves,visualcube,3,29,fc,rrwrrwrrwbbbbbbbbbyyryyryyr,,,l'
,moves,visualcube,3,30,fc,ggggggwwwbwwbwwbwwrrrrrrrrr,,,b'
,moves,visualcube,4,31,fc,wowwowwowbbbbbbbbbrwrrwrrwr,,,M
,moves,visualcube,4,32,fc,wrwwrwwrwbbbbbbbbbryrryrryr,,,M'
,moves,visualcube,4,33,fc,wwwwwwwwwbbbrrrbbbrrrgggrrr,,,E
,moves,visualcube,4,34,fc,wwwwwwwwwbbbooobbbrrrbbbrrr,,,E'
,moves,visualcube,4,35,fc,wwwgggwwwbwbbwbbwbrrrrrrrrr,,,S
,moves,visualcube,4,36,fc,wwwbbbwwwbybbybbybrrrrrrrrr,,,S'
,moves,visualcube,5,37,fc,rrrrrrrrrbbbbbbbbbyyyyyyyyy,,,x
,moves,visualcube,5,38,fc,ooooooooobbbbbbbbbwwwwwwwww,,,x'
,moves,visualcube,5,39,fc,wwwwwwwwwooooooooobbbbbbbbb,,,y
,moves,visualcube,5,40,fc,wwwwwwwwwrrrrrrrrrggggggggg,,,y'
,moves,visualcube,5,41,fc,gggggggggwwwwwwwwwrrrrrrrrr,,,z
,moves,visualcube,5,42,fc,bbbbbbbbbyyyyyyyyyrrrrrrrrr,,,z'
